objectid,filename,title,creator,date,description,subject,location,source,identifier,type,format,language,rights,rightsstatement,display_template,image_alt_text,cataloguer,citation
bertsavoy_cbm_image_painting_1923,bertsavoy_cbm_image_painting_1923.jpg,Bert Savoy - Calla Lillies ,Charles Demouth,1927,“Charles Demuth’s painting is both a still life and a memorial portrait commemorating Bert Savoy a vaudeville entertainer famous for performances as a female impersonator. Savoy was struck by lightning on a Long Island beach in 1923. The shell and dark waves allude to the site of Savoy’s death and the calla lilies are associated with funerals. Many modern artists used flowers to signify themes of sexuality and gender expression. Thus the painting reflects Savoy and Demuth’s kinship in New York queer circles during the early twentieth century.”,Bert Savoy,New York (United States),https://crystalbridges.emuseum.com/objects/2972/calla-lilies-bert-savoy,asc201253,Still Image,image/jpeg,English,Copyrights undertermined,https://rightsstatements.org/vocab/UND/1.0/,image,"""A painting of two white cala lilies. The flowers rest in a large white shell and are in front of a deep blue backdrop, representing the ocean.""",Jonathan,"""Charles Demuth. Calla Lilies (Bert Savoy). ca. 1926. Watercolor and graphite on paper, 15 × 11 in. (38.1 × 27.9 cm). Crystal Bridges Museum of American Art. Accessed October 24, 2025. https://crystalbridges.emuseum.com/objects/2972/calla-lilies-bert-savoy."""
vestatilley_dta_image_postcard_1920,vestatilley_dta_image_postcard_1920.jpg,Vesta Tilley - Smoking,Unknown,1920,“A portrait of male impersonator Vesta Tilley.”,Vesta Tilley,Unknown,https://www.queermusicheritage.com/AUG2011/Historic/tilley-vesta-card2.jpg,fq977t947,Still Image,image/jpeg,English,Copyrights undertermined,https://rightsstatements.org/vocab/UND/1.0/,image,“Black-and-white photograph of male impersonator Vesta Tilley smoking while dressed in a suit and top hat.”,Jonathan,"""Vesta Tilley Smoking.  Card.  Digital Transgender Archive,  https://www.digitaltransgenderarchive.net/files/fq977t947  (accessed October 30, 2025)."""
errolbert_dta_image_formalwear_1930,errolbert_dta_image_formalwear_1930.jpg,Bert Errol - Formal Wear,Unknown,1930,“Bert Eroll posing for a portrait while in drag.”,Bert Errol,Hollywood (United States,https://www.digitaltransgenderarchive.net/files/nk322d55t,nk322d55t,Still Image,image/jpeg,English,Copyrights undertermined,https://rightsstatements.org/vocab/UND/1.0/,image,"“A black and white portrait of female impersonator Bert Eroll. Eroll is posed with one hand on their hip while dressed in a beaded white gown, boa and a large feathered hat.”",Ben,"""'Bert Errol in Formal Wear.'  Photograph.  1930.  Digital Transgender Archive,  https://www.digitaltransgenderarchive.net/files/nk322d55t  (accessed October 30, 2025)."""
errolbert_dta_sheetmusic_bambambamyshore_1925,errolbert_dta_sheetmusic_bambambamyshore_1925.jpg,Bert Errol - Bambambamy Shore,Unknown,1925,“Sheet music cover for the production titled Bambambamy Shore.”,Bert Errol,New York (United States),https://www.digitaltransgenderarchive.net/files/pn89d681k,pn89d681k,Still Image,image/jpeg,English,Copyrights undertermined,https://rightsstatements.org/vocab/UND/1.0/,image,“Sheet music cover for a production called Bambambamy Shore. The title is printed at the top while a portrait of the star performer Bert Eroll is to the left. The rest of the cover is a blue black and white print of a sailor smoking a pipe on the beach while three feminine figures dance in the distance.”,Ben,"""Henderson, Ray,  and Dixon, Mort.  'Bambambamy Shore.' Leaflet.  1925.  Digital Transgender Archive,  https://www.digitaltransgenderarchive.net/files/pn89d681k  (accessed October 30, 2025)."""
errolbert_dta_image_whitedress_1925,errolbert_dta_image_whitedress_1925.jpg,Bert Errol - White Dress,Unknown,1925,“A portrait of Bert Eroll in character.”,Bert Errol,Unknown,https://www.digitaltransgenderarchive.net/files/8049g5303,8049g5303,Still Image,image/jpeg,English,Copyrights undertermined,https://rightsstatements.org/vocab/UND/1.0/,image,“A black and white portrait of Bert Eroll while in character. Eroll looks away from the camera with a hand placed on Eroll’s chest. The stark white of Eroll’s elaborate lace costume and headdress creates a contrast to the image’s dark backdrop. The portrait is signed ‘Sincerely yours. Bert Eroll’.”,Ben,
wesnerella_dta_image_postcards_1870,wesnerella_dta_image_postcards_1870.jpg,Ella Wesner - Postcard,"Sarony, Napoleon",1908,“A portrait of male impersonator Ella Wesner.”,Ella Wesner,United Kingdom,https://www.digitaltransgenderarchive.net/files/c534fp21q,v118rd878,Still Image,image/jpeg,English,Copyrights undertermined,https://rightsstatements.org/vocab/UND/1.0/,image," “A black and white portrait of male impersonator Ella Wesner printed on a postcard. Wesner is leaning against a pillar to the left and dressed in a formal suit while holding a top hat in Wesner’s right hand.”
",Ben,"""Portrait of Ella Wesner.  Photograph.  1870.  Digital Transgender Archive,  https://www.digitaltransgenderarchive.net/files/v118rd878  (accessed October 30, 2025)."""
wesnerella_dta_image_portrait_1870,wesnerella_dta_image_portrait_1870.jpg,Ella Wesner - Portrait,Unkown,1908,“A headshot of male impersonator Ella Wesner.”,Ella Wesner,New York (United States),https://www.digitaltransgenderarchive.net/files/70795788n,70795788n,Still Image,image/jpeg,English,Copyrights undertermined,https://rightsstatements.org/vocab/UND/1.0/,image,"“A black and white headshot of male impersonator Ella Wesner. While smoking a cigarette, Wesner looks into the camera while wearing a formal suit and fez hat.”",Ben,"""Portrait of Ella Wesner.  Card.  1870.  Digital Transgender Archive,  https://www.digitaltransgenderarchive.net/files/70795788n  (accessed October 30, 2025)."""
dellafox_dta_sheetmusic_littletrooper_1890,dellafox_dta_sheetmusic_littletrooper_1890.jpg,Della Fox - The Little Trooper,W. O. Johnson,1890,“Sheet music cover for the production titled ‘The Little Trooper’ starring Della Fox.”,Della Fox,New York (United States),https://www.digitaltransgenderarchive.net/files/s7526c62c,s7526c62c,Stilll Image,image/jpeg,English,Copyrights undertermined,https://rightsstatements.org/vocab/UND/1.0/,image,“Sheet music cover for the production titled ‘The Little Trooper’ starring Della Fox. The colorful cover features an illustration of Fox dressed as a soldier in salute. Fox’s costume consists of a yellow army coat with red accents. The sheet music cover also details the production’s dedication to Della Fox and credits the creator W.O. Johnson. The piece was published by E.T Paul Music Co of New York.”,Lili,"""Johnson, W. O..  'The Della Fox Little Trooper March.' 
Leaflet.  1890.  Digital Transgender Archive,  https://www.digitaltransgenderarchive.net/files/s7526c62c  
(accessed October 30, 2025)."""
julianeltinge_dta_image_drag_1915,julianeltinge_dta_image_drag_1915.jpg,Julian Eltinge - Portrait,Unknown,1915,“Julian Eltinge poses in a dress.”,Julian Eltinge,Unknown,https://www.digitaltransgenderarchive.net/files/tt44pn00t,tt44pn00t,Still image,image/jpeg,English,Copyrights undertermined,https://rightsstatements.org/vocab/UND/1.0/,image,"“A black and white portrait of female impersonator Julian Eltinge. Eltinge stands facing away from the camera while looking towards the viewer. Eltinge poses in a white lace dress, a fringed boating hat and kitten heels.”",Lili,"""Portrait of Julian Eltinge (3).  Photograph.  1915. 
Digital Transgender Archive, https://www.digitaltransgenderarchive.net/files/tt44pn00t (accessed October 30, 2025)."""
julianeltinge_dta_image_twofaces_1910,julianeltinge_dta_image_twofaces_1910.jpg,Julian Eltinge - Postcard,Unknown,1910,"“A postcard which reads ""Julian Eltinge"" beneath two juxtaposed images of Julian Eltinge's face, one masculine and one feminine.”",Julian Eltinge,New York (United States),https://www.digitaltransgenderarchive.net/files/pz50gw415,pz50gw415,Still image,image/jpeg,English,Copyrights undertermined,https://rightsstatements.org/vocab/UND/1.0/,image,“A black and white portrait of Julian Eltinge printed on a postcard. The image has a pink border and two juxtaposed images of Eltinge’s face representing his identity as a female impersonator. The masculine and feminine portraits face away from each other. Below the image is Julian Eltinge in large capital letters.”,Lili,"""Julian Eltinge Postcard (7).  Ephemera.  1910.  
Digital Transgender Archive,  
https://www.digitaltransgenderarchive.net/files/pz50gw415  
(accessed October 30, 2025)."""
